Strain,Subspecies,Host_cn,Host_sn,Growth_form,Crop,Location0,Location1,Location2,Location3,Latitude,Longitude,Rate,logRate,RR,logRR,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.0000397,-4.401267952,3969.465649,3.598732048,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.000177778,-3.750122527,17777.77778,4.249877473,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.000346457,-3.460351044,34645.66929,4.539648956,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.000751351,-3.124156928,75135.13514,4.875843072,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.001511171,-2.820686507,151117.0589,5.179313493,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.001561,-2.806597097,156100,5.193402903,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.001603993,-2.794797438,160399.3344,5.205202562,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.0017767,-2.750385898,177670,5.249614102,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.00191018,-2.718925788,191017.9641,5.281074212,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.001914286,-2.717993242,191428.5714,5.282006758,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.002254682,-2.64691477,225468.1648,5.35308523,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.002397,-2.620331966,239700,5.379668034,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.002397,-2.620331966,239700,5.379668034,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.00273,-2.563837353,273000,5.436162647,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.002758621,-2.559308011,275862.069,5.440691989,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.002776667,-2.556476253,277666.6667,5.443523747,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.002826,-2.548827842,282600,5.451172158,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.003142857,-2.502675359,314285.7143,5.497324641,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.003238994,-2.489589895,323899.3711,5.510410105,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.003787966,-2.421593972,378796.5616,5.578406028,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.0042,-2.37675071,420000,5.62324929,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.004576923,-2.339426387,457692.3077,5.660573613,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.005115789,-2.291087336,511578.9474,5.708912664,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.005937107,-2.22642513,593710.6918,5.77357487,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.006,-2.22184875,600000,5.77815125,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.006108787,-2.214045045,610878.6611,5.785954955,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.006468401,-2.189203032,646840.1487,5.810796968,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.006567901,-2.182573387,656790.1235,5.817426613,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.007261364,-2.138981814,726136.3636,5.861018186,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.007346341,-2.133928889,734634.1463,5.866071111,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.008522388,-2.069438694,852238.806,5.930561306,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.023297989,-1.63268156,2329798.923,6.36731844,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.027223881,-1.565049969,2722388.06,6.434950031,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
TemeculaL,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula",CA,33.4934243,-117.1488156,0.034375,-1.463757293,3437500,6.536242707,17.14003181,15.55718708,52.93135834,491.1556702,33.52399826,4.132750034,29.3912487,12.10054207,22.84358215,23.73245811,11.68016624,354,69,2,85.6404953,194,10,20,184
Je118,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula, Avenida Arriba",CA,33.5587,-117.0114,0.000858824,-3.066096066,85882.35294,4.933903934,17.74982262,17.73135376,53.2309227,554.2678833,36.37350082,3.063250065,33.31024933,12.07304096,24.32508469,25.06079102,11.47974968,334,65,2,85.19547272,185,11,21,174
Je118,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula, Avenida Arriba",CA,33.5587,-117.0114,0.001420513,-2.847554842,142051.2821,5.152445158,17.74982262,17.73135376,53.2309227,554.2678833,36.37350082,3.063250065,33.31024933,12.07304096,24.32508469,25.06079102,11.47974968,334,65,2,85.19547272,185,11,21,174
Je103,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula, Vista de Oro road",CA,33.5381,-117.0879,0.002039474,-2.690481894,203947.3684,5.309518106,17.74982262,17.73135376,53.2309227,554.2678833,36.37350082,3.063250065,33.31024933,12.07304096,24.32508469,25.06079102,11.47974968,334,65,2,85.19547272,185,11,21,174
Je103,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,WUS,CA,"USA, California, Temecula, Vista de Oro road",CA,33.5381,-117.0879,0.002539535,-2.595245817,253953.4884,5.404754183,17.74982262,17.73135376,53.2309227,554.2678833,36.37350082,3.063250065,33.31024933,12.07304096,24.32508469,25.06079102,11.47974968,334,65,2,85.19547272,185,11,21,174
Fillmore,subsp.multiplex,Olive,Olea europaea,tree,1,WUS,CA,"USA, California, Ventura",CA,34.2804923,-119.2945199,0,0,0,0,16.06518745,12.26018524,61.79037476,280.4782715,25.93512535,6.093548298,19.84157753,13.08841038,19.02903175,19.7030468,12.8771801,403,95,0,107.4979706,262,2,6,242
Fillmore,subsp.multiplex,Olive,Olea europaea,tree,1,WUS,CA,"USA, California, Ventura",CA,34.2804923,-119.2945199,0,0,0,0,16.06518745,12.26018524,61.79037476,280.4782715,25.93512535,6.093548298,19.84157753,13.08841038,19.02903175,19.7030468,12.8771801,403,95,0,107.4979706,262,2,6,242
CFBP7970,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,SEUS,FL,"USA, Florida",FL,27.6648274,-81.5157535,0,0,0,0,22.40246773,12.74281216,52.97420502,435.7884521,33.32624817,9.271499634,24.05474854,27.28612518,17.87041664,27.31458282,16.77129173,1230,200,44,58.83487701,566,150,524,172
CFBP7970,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,SEUS,FL,"USA, Florida",FL,27.6648274,-81.5157535,0,0,0,0,22.40246773,12.74281216,52.97420502,435.7884521,33.32624817,9.271499634,24.05474854,27.28612518,17.87041664,27.31458282,16.77129173,1230,200,44,58.83487701,566,150,524,172
CFBP7970,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,SEUS,FL,"USA, Florida",FL,27.6648274,-81.5157535,0,0,0,0,22.40246773,12.74281216,52.97420502,435.7884521,33.32624817,9.271499634,24.05474854,27.28612518,17.87041664,27.31458282,16.77129173,1230,200,44,58.83487701,566,150,524,172
CFBP7970,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,SEUS,FL,"USA, Florida",FL,27.6648274,-81.5157535,0,0,0,0,22.40246773,12.74281216,52.97420502,435.7884521,33.32624817,9.271499634,24.05474854,27.28612518,17.87041664,27.31458282,16.77129173,1230,200,44,58.83487701,566,150,524,172
CFBP8082,subsp.fastidiosa,Ragweed,Ambrosia artemifolia,herb,0,SEUS,FL,"USA, Florida",FL,27.6648274,-81.5157535,0,0,0,0,22.40246773,12.74281216,52.97420502,435.7884521,33.32624817,9.271499634,24.05474854,27.28612518,17.87041664,27.31458282,16.77129173,1230,200,44,58.83487701,566,150,524,172
CFBP8082,subsp.fastidiosa,Ragweed,Ambrosia artemifolia,herb,0,SEUS,FL,"USA, Florida",FL,27.6648274,-81.5157535,0,0,0,0,22.40246773,12.74281216,52.97420502,435.7884521,33.32624817,9.271499634,24.05474854,27.28612518,17.87041664,27.31458282,16.77129173,1230,200,44,58.83487701,566,150,524,172
CFBP8082,subsp.fastidiosa,ragweed,Ambrosia artemifolia,herb,0,SEUS,FL,"USA, Florida",FL,27.6648274,-81.5157535,0,0,0,0,22.40246773,12.74281216,52.97420502,435.7884521,33.32624817,9.271499634,24.05474854,27.28612518,17.87041664,27.31458282,16.77129173,1230,200,44,58.83487701,566,150,524,172
Oak92-10,subsp.multiplex,pecan,Quercus nigra,tree,0,SEUS,FL,"USA, Florida, Lake",FL,28.702847,-81.7787021,0,0,0,0,21.65377045,11.75224972,48.33432388,486.8363037,33.0320015,8.717499733,24.31450272,27.19062424,19.41187477,27.19062424,15.37599945,1261,179,56,47.60083389,533,180,533,211
Oak92-10,subsp.multiplex,pecan,Quercus nigra,tree,0,SEUS,FL,"USA, Florida, Lake",FL,28.702847,-81.7787021,0,0,0,0,21.65377045,11.75224972,48.33432388,486.8363037,33.0320015,8.717499733,24.31450272,27.19062424,19.41187477,27.19062424,15.37599945,1261,179,56,47.60083389,533,180,533,211
EB92-1,subsp.fastidiosa,Elderberry,Sambucus spp.,tree,1,SEUS,FL,"USA, Florida, Lake, Leesburg",FL,28.810823,-81.8778582,0.00010365,-3.984430694,10365,4.015569306,21.61052132,12.63787556,50.15527344,491.1455078,33.28025055,8.08275032,25.19750023,27.19379234,19.34645844,27.19379234,15.28083324,1271,180,57,46.83074951,535,181,535,218
L95-1,subsp.multiplex,lupinus,Lupinus aridonum,herb,0,SEUS,FL,"USA, Florida, Orange",FL,28.4844995,-81.2518833,0.01454,-1.837435593,1454000,6.162564407,22.13664627,11.71879196,49.04081345,457.6899719,32.98574829,9.08975029,23.895998,27.31987381,17.33354187,27.31987381,16.20879173,1236,183,47,53.05994415,542,167,542,184
L95-1,subsp.multiplex,lupinus,Lupinus aridonum,herb,0,SEUS,FL,"USA, Florida, Orange",FL,28.4844995,-81.2518833,0.042,-1.37675071,4200000,6.62324929,22.13664627,11.71879196,49.04081345,457.6899719,32.98574829,9.08975029,23.895998,27.31987381,17.33354187,27.31987381,16.20879173,1236,183,47,53.05994415,542,167,542,184
L95-1,subsp.multiplex,lupinus,Lupinus aridonum,herb,0,SEUS,FL,"USA, Florida, Orange",FL,28.4844995,-81.2518833,0.07996,-1.097127215,7996000,6.902872785,22.13664627,11.71879196,49.04081345,457.6899719,32.98574829,9.08975029,23.895998,27.31987381,17.33354187,27.31987381,16.20879173,1236,183,47,53.05994415,542,167,542,184
BB08-1,subsp.multiplex,Blueberry,Vaccinium spp.,tree,1,SEUS,FL,"USA, Florida, Palatka, Putnam",FL,29.6590351,-81.6492489,0.0000363,-4.440452444,3627,3.559547556,20.74843788,11.55741692,45.46315765,521.4419556,32.63050079,7.209000111,25.42150116,26.7280426,18.19220734,26.7280426,14.01345825,1276,174,60,41.80640411,503,205,503,234
AlmaEM3,subsp.multiplex,Blueberry,Vaccinium spp.,tree,1,SEUS,GA,"USA, Georgia",GA,31.5393701,-82.4623557,0.0000748,-4.126098402,7480,3.873901598,19.07513618,13.52352142,44.61846161,647.9072876,33.74575043,3.436500072,30.30924988,26.77379227,19.83104134,26.77379227,10.80437565,1231,156,59,29.9387989,432,202,432,312
GAplum,subsp.multiplex,Plum,Prunus sp.,tree,1,SEUS,GA,"USA, Georgia",GA,32.1656221,-82.9000751,0,0,0,0,18.53133392,13.29008389,43.07201004,681.7280273,33.60749817,2.752000093,30.85549736,26.67929077,19.16858292,26.67929077,9.877124786,1152,125,57,22.66762924,349,202,349,317
Red_Oak_2,subsp.multiplex,Oak,Quercus rubra,tree,1,SEUS,GA,"USA, Georgia",GA,32.1656221,-82.9000751,0,0,0,0,18.53133392,13.29008389,43.07201004,681.7280273,33.60749817,2.752000093,30.85549736,26.67929077,19.16858292,26.67929077,9.877124786,1152,125,57,22.66762924,349,202,349,317
Red_Oak_2,subsp.multiplex,Oak,Quercus rubra,tree,1,SEUS,GA,"USA, Georgia",GA,32.1656221,-82.9000751,0,0,0,0,18.53133392,13.29008389,43.07201004,681.7280273,33.60749817,2.752000093,30.85549736,26.67929077,19.16858292,26.67929077,9.877124786,1152,125,57,22.66762924,349,202,349,317
Alma311,subsp.multiplex,Blueberry,Vaccinium spp.,tree,1,SEUS,GA,"USA, Georgia, Alma, Bacon",GA,31.5393701,-82.4623557,0,0,0,0,19.07513618,13.52352142,44.61846161,647.9072876,33.74575043,3.436500072,30.30924988,26.77379227,19.83104134,26.77379227,10.80437565,1231,156,59,29.9387989,432,202,432,312
Alma311,subsp.multiplex,Blueberry,Vaccinium spp.,tree,1,SEUS,GA,"USA, Georgia, Alma, Bacon",GA,31.5393701,-82.4623557,0,0,0,0,19.07513618,13.52352142,44.61846161,647.9072876,33.74575043,3.436500072,30.30924988,26.77379227,19.83104134,26.77379227,10.80437565,1231,156,59,29.9387989,432,202,432,312
BBI10,subsp.multiplex,Blueberry,Vaccinium spp.,tree,1,SEUS,GA,"USA, Georgia, Alma, Bacon",GA,31.5393701,-82.4623557,0,0,0,0,19.07513618,13.52352142,44.61846161,647.9072876,33.74575043,3.436500072,30.30924988,26.77379227,19.83104134,26.77379227,10.80437565,1231,156,59,29.9387989,432,202,432,312
BBI10,subsp.multiplex,Blueberry,Vaccinium spp.,tree,1,SEUS,GA,"USA, Georgia, Alma, Bacon",GA,31.5393701,-82.4623557,0,0,0,0,19.07513618,13.52352142,44.61846161,647.9072876,33.74575043,3.436500072,30.30924988,26.77379227,19.83104134,26.77379227,10.80437565,1231,156,59,29.9387989,432,202,432,312
4rd+1,subsp.multiplex,sycamore,Platanus occidentalis,tree,0,SEUS,GA,"USA, Georgia, Athens-Clarke",GA,33.9519347,-83.357567,0,0,0,0,16.46068764,12.76891613,39.39442825,747.34729,32.56900024,0.156000003,32.41300201,8.626625061,16.97183418,25.52745819,7.029541492,1263,140,84,15.80567741,379,259,312,343
4rd+1,subsp.multiplex,sycamore,Platanus occidentalis,tree,0,SEUS,GA,"USA, Georgia, Athens-Clarke",GA,33.9519347,-83.357567,0,0,0,0,16.46068764,12.76891613,39.39442825,747.34729,32.56900024,0.156000003,32.41300201,8.626625061,16.97183418,25.52745819,7.029541492,1263,140,84,15.80567741,379,259,312,343
AlmaReb2,subsp.fastidiosa,Blueberry,Vaccinium spp.,tree,1,SEUS,GA,"USA, Georgia, Bacon, Blake Williams Farm",GA,32.1656221,-82.9000751,0.006816327,-2.166449613,681632.6531,5.833550387,18.53133392,13.29008389,43.07201004,681.7280273,33.60749817,2.752000093,30.85549736,26.67929077,19.16858292,26.67929077,9.877124786,1152,125,57,22.66762924,349,202,349,317
AlmaReb2,subsp.fastidiosa,Blueberry,Vaccinium spp.,tree,1,SEUS,GA,"USA, Georgia, Bacon, Blake Williams Farm",GA,32.1656221,-82.9000751,0.007649123,-2.116388366,764912.2807,5.883611634,18.53133392,13.29008389,43.07201004,681.7280273,33.60749817,2.752000093,30.85549736,26.67929077,19.16858292,26.67929077,9.877124786,1152,125,57,22.66762924,349,202,349,317
BBI80,subsp.multiplex,Blueberry,Vaccinium spp.,tree,1,SEUS,GA,"USA, Georgia, Brantley, Hoboken",GA,31.1810559,-82.1348416,0,0,0,0,19.37339592,13.66399956,45.36182022,626.6928101,33.84249878,3.720249891,30.1222496,26.80675125,15.88912487,26.80675125,11.37524986,1299,181,64,35.21162415,497,214,497,289
BBI80,subsp.multiplex,Blueberry,Vaccinium spp.,tree,1,SEUS,GA,"USA, Georgia, Brantley, Hoboken",GA,31.1810559,-82.1348416,0,0,0,0,19.37339592,13.66399956,45.36182022,626.6928101,33.84249878,3.720249891,30.1222496,26.80675125,15.88912487,26.80675125,11.37524986,1299,181,64,35.21162415,497,214,497,289
BBI64,subsp.multiplex,Blueberry,Vaccinium spp.,tree,1,SEUS,GA,"USA, Georgia, Brantley, Hoboken",GA,31.1810559,-82.1348416,0,0,0,0,19.37339592,13.66399956,45.36182022,626.6928101,33.84249878,3.720249891,30.1222496,26.80675125,15.88912487,26.80675125,11.37524986,1299,181,64,35.21162415,497,214,497,289
CCPM1,subsp.fastidiosa,Grapes,Vitis vinifera,tree,1,SEUS,GA,"USA, Georgia, Lumpking, Dahlonega",GA,34.5261465,-83.9843953,0.00165,-2.782516056,165000,5.217483944,14.23552036,12.82737446,40.0811615,730.9411621,30.04425049,-1.959249973,32.00350189,6.446499825,19.46962547,23.09320831,5.014500141,1564,168,111,13.42323112,465,346,360,431
